,com_code,Nom,population,forêt,K2,densité population,densité de foret,temperature,humidity,weather_description,code_dep
252,76498,Le Petit-Quevilly,22056,0,"5,13967969",4291,0,"18,56",68,overcast clouds,76
253,76540,Rouen,115639,4452,"25,42837747",4548,175,"17,66",77,overcast clouds,76
254,76575,Saint-Étienne-du-Rouvray,28733,0,"21,4896811",1337,0,"18,83",68,overcast clouds,76
255,76681,Sotteville-lès-Rouen,29440,0,"8,730049518",3372,0,"18,69",68,overcast clouds,76
256,77058,Bussy-Saint-Georges,26902,9291,"17,58234027",1530,528,18,74,overcast clouds,77
257,77083,Champs-sur-Marne,25845,0,"8,980347571",2878,0,"18,13",74,overcast clouds,77
258,77108,Chelles,54605,0,"18,57328819",2940,0,"18,11",74,overcast clouds,77
259,77122,Combs-la-Ville,22389,0,"16,64040157",1345,0,"18,22",70,few clouds,77
260,77152,Dammarie-les-Lys,22976,0,"11,69093452",1965,0,"18,29",72,few clouds,77
261,77243,Lagny-sur-Marne,21384,0,"6,729026265",3178,0,18,74,overcast clouds,77
262,77284,Meaux,56063,0,"17,6282616",3180,0,"18,84",84,overcast clouds,77
263,77285,Le Mée-sur-Seine,20349,0,"6,356238352",3201,0,"18,29",72,few clouds,77
264,77288,Melun,42614,0,"9,145552939",4660,0,"18,98",63,overcast clouds,77
265,77294,Mitry-Mory,20721,0,"34,70468704",597,0,"18,04",81,overcast clouds,77
266,77305,Montereau-Fault-Yonne,22452,0,"10,28371011",2183,0,"18,25",81,overcast clouds,77
267,77350,Ozoir-la-Ferrière,20887,149188,"18,02292883",1159,8278,18,73,few clouds,77
268,77373,Pontault-Combault,38470,33572,"15,69863562",2451,2139,"18,79",63,broken clouds,77
269,77390,Roissy-en-Brie,23180,1269906,"15,79104299",1468,80419,"17,94",74,overcast clouds,77
270,77445,Savigny-le-Temple,30750,0,"13,78202549",2231,0,"18,23",72,few clouds,77
271,77468,Torcy,22566,0,"7,064038742",3194,0,"18,12",74,overcast clouds,77
272,77514,Villeparisis,26928,0,"9,597549775",2806,0,"18,15",80,overcast clouds,77
273,78005,Achères,21505,5446,"11,05175114",1946,493,"18,25",72,overcast clouds,78
274,78126,La Celle-Saint-Cloud,20878,0,"6,718146807",3108,0,"17,32",72,broken clouds,78
275,78146,Chatou,30135,0,"5,86051025",5142,0,"18,1",72,broken clouds,78
276,78158,Le Chesnay-Rocquencourt,31547,0,"4,963678783",6356,0,"17,52",71,broken clouds,78
277,78172,Conflans-Sainte-Honorine,36341,0,"11,5164561",3156,0,18,71,clear sky,78
278,78208,Élancourt,26319,0,"10,6847001",2463,0,"17,25",76,broken clouds,78
279,78297,Guyancourt,29891,168480,"15,25636793",1959,11043,"17,28",74,broken clouds,78
280,78311,Houilles,33770,0,"5,196192148",6499,0,"18,14",72,broken clouds,78
281,78358,Maisons-Laffitte,23548,0,"8,041746951",2928,0,"18,03",70,clear sky,78
