com_code;code postal;Nom;com pos;lat;lon;population;forêt;K2;densité popopulation;densité de foret;temperature;humidity;weather_description;market;nb_hop;log moy;log min;log max
44215;44120;Vertou;44120-Vertou;47,16037326;-1,470522917;26502;126600;41,24362878;643;3070;19;63;clear sky;3;0;360121;6;6189272
45147;45400;Fleury-les-Aubrais;45400-Fleury-les-Aubrais;47,93892662;1,919891157;21680;0;11,34121451;1912;0;18;72;clear sky;17;1;200072;1;1600000
45232;45160;Olivet;45160-Olivet;47,85469975;1,888238848;23370;0;25,93402109;901;0;18;72;clear sky;9;0;392951;1;3700000
45234;45000;Orléans;45000-Orléans;47,88286342;1,916103575;119065;0;30,69808217;3879;0;18;68;few clouds;73;1;255993;1;2400000
45284;45800;Saint-Jean-de-Braye;45800-Saint-Jean-de-Braye;47,91784976;1,972415702;22312;12012;15,30571659;1458;785;18;72;clear sky;10;0;203161;500;870000
46042;46000;Cahors;46000-Cahors;44,45073709;1,440758378;21045;0;63,67458789;331;0;17;71;broken clouds;4;0;251131;1;4000000
47001;47000;Agen;47000-Agen;44,20281391;0,625583929;33299;27797;11,22022819;2968;2477;20;52;few clouds;5;0;290734;6000;9430593
47323;47300;Villeneuve-sur-Lot;47300-Villeneuve-sur-Lot;44,42510929;0,742526168;22343;0;79,64458701;281;0;19;73;overcast clouds;3;0;178473;1;1768469,6
49007;49000;Angers;49000-Angers;47,47683742;-0,556125995;160436;0;48,53749937;3305;0;21;44;overcast clouds;30;3;241918;1;1650000
49023;49110;Beaupréau-en-Mauges;49110-Beaupréau-en-Mauges;47,21259845;-0,983619029;24355;0;251,1255264;97;0;19;80;overcast clouds;0;0;177227;78;1040000
49092;49120;Chemillé-en-Anjou;49120-Chemillé-en-Anjou;47,22722685;-0,73018816;22009;0;348,1530956;63;0;21;79;overcast clouds;1;0;121959;1;470000
49099;49300;Cholet;49300-Cholet;47,0454403;-0,87788619;55882;7434;94,31945022;592;79;19;80;overcast clouds;6;0;253033;1;2195076
49301;49230;Sèvremoine;49230-Sèvremoine;47,12565604;-0,998341815;26419;23302;231,8132679;114;101;19;80;overcast clouds;0;0;86738;1;333000
49328;49400;Saumur;49400-Saumur;47,26738535;-0,083041059;27113;11764;72,33170058;375;163;21;47;broken clouds;8;0;159577;1;1400000
50129;50100;Cherbourg-en-Cotentin;50100-Cherbourg-en-Cotentin;49,63341216;-1,633901602;80020;0;81,792789;978;0;15;88;overcast clouds;26;1;215393;1;670000
50502;50000;Saint-Lô;50000-Saint-Lô;49,10996242;-1,077556427;20181;0;27,14820843;743;0;18;80;overcast clouds;14;0;229461;1;2750000
51108;51000;Châlons-en-Champagne;51000-Châlons-en-Champagne;48,96408921;4,378835397;44928;408292;30,21678857;1487;13512;16;72;broken clouds;7;2;127720;200;539000
51230;51200;Épernay;51200-Épernay;49,03700069;3,931446262;22485;0;26,5787751;846;0;17;75;overcast clouds;4;0;205835;12000;1300000
51454;51100;Reims;51100-Reims;49,25149061;4,040230232;182220;0;54,98171389;3314;0;17;72;overcast clouds;25;0;354390;150;4900000
52121;52000;Chaumont;52000-Chaumont;48,09801442;5,140700446;22869;150946;61,8955418;369;2439;14;77;overcast clouds;6;1;163406;1;5900000
52448;52100;Saint-Dizier;52100-Saint-Dizier;48,62801007;4,949235236;23500;10800;55,72693601;422;194;17;79;broken clouds;46;1;122400;1;750000
53130;53000;Laval;53000-Laval;48,06085655;-0,766005687;52179;0;38,37463969;1360;0;12;88;light rain;16;0;194346;1;5446046,5
54395;54000;Nancy;54000-Nancy;48,69019955;6,175882544;105753;178486;17,1472501;6167;10409;17;45;clear sky;1;0;373803;1;22346400
54547;54500;Vandœuvre-lès-Nancy;54500-Vandœuvre-lès-Nancy;48,65799994;6,165312293;29829;0;10,70728354;2786;0;17;45;clear sky;0;0;268820;1;2980000
56098;56600;Lanester;56600-Lanester;47,76919243;-3,32648318;23530;0;18,00173123;1307;0;16;74;clear sky;7;0;271483;7000;1360000
56121;56100;Lorient;56100-Lorient;47,75004869;-3,378232009;59317;0;16,40416254;3616;0;16;75;clear sky;17;0;230933;1000;1300000
56260;56000;Vannes;56000-Vannes;47,65974938;-2,757143295;56366;0;36,21763508;1556;0;17;73;broken clouds;42;1;327249;1;5273858
57227;57600;Forbach;57600-Forbach;49,19126504;6,892757985;21411;0;19,22845633;1114;0;17;39;clear sky;2;1;0;0;0
57463;57000;Metz;57000-Metz;49,10811333;6,195524542;122714;34006;48,66023648;2522;699;18;45;clear sky;6;0;0;0;0
57480;57950;Montigny-lès-Metz;57950-Montigny-lès-Metz;49,09531991;6,154525995;22173;0;7,759086282;2858;0;19;45;clear sky;0;0;0;0;0
57631;57200;Sarreguemines;57200-Sarreguemines;49,10881441;7,069431007;21080;692517;34,93371936;603;19824;16;66;overcast clouds;6;1;0;0;0
57672;57100;Thionville;57100-Thionville;49,37597162;6,129283142;42914;0;58,64895758;732;0;17;70;overcast clouds;5;4;0;0;0
58194;58000;Nevers;58000-Nevers;46,98811949;3,15689131;33825;0;18,61551031;1817;0;15;75;overcast clouds;33;2;217883;200;3380700
59009;59491;Villeneuve-d'Ascq;59491-Villeneuve-d'Ascq;50,63243724;3,153525722;62700;0;34,12858568;1837;0;15;71;overcast clouds;62;0;255804;2000;1130400
59017;59280;Armentières;59280-Armentières;50,69137975;2,879715533;25950;0;7,700020802;3370;0;15;71;overcast clouds;4;0;254514;50;3921585,8
59122;59400;Cambrai;59400-Cambrai;50,1702776;3,242210211;31972;0;22,05195634;1450;0;15;95;overcast clouds;18;0;181603;1290;1600000
59155;59210;Coudekerque-Branche;59210-Coudekerque-Branche;51,01795413;2,395808326;21012;0;11,54852869;1819;0;15;51;overcast clouds;2;0;156266;2000;350000
59163;59170;Croix;59170-Croix;50,674069;3,154640417;21016;32450;5,592322141;3758;5803;15;72;overcast clouds;6;0;300119;1;2257000
59172;59220;Denain;59220-Denain;50,32996607;3,389862336;20758;0;14,16390611;1466;0;15;90;overcast clouds;3;1;178796;1,2;2090000
59178;59500;Douai;59500-Douai;50,38231953;3,091456831;40474;0;20,77659127;1948;0;15;88;overcast clouds;33;0;542415;1;18865306
59183;59140;Dunkerque;59140-Dunkerque;51,03072291;2,337524141;88024;0;54,03646243;1629;0;15;85;overcast clouds;12;1;444211;2300;4315001
59271;59760;Grande-Synthe;59760-Grande-Synthe;51,01678746;2,290711434;20528;3961;26,46233266;776;150;15;41;overcast clouds;5;0;284497;6000;3399286
59279;59250;Halluin;59250-Halluin;50,77474803;3,126924744;20964;0;15,66944165;1338;0;15;81;overcast clouds;1;0;664359;1000;1757500
59295;59190;Hazebrouck;59190-Hazebrouck;50,72629671;2,538643015;21899;0;34,13903235;641;0;15;86;overcast clouds;4;0;179807;2248,2;555000
59328;59130;Lambersart;59130-Lambersart;50,6522053;3,024911743;27563;0;7,492917466;3679;0;15;72;overcast clouds;4;0;320180;5000;2700000
59350;59000;Lille;59000-Lille;50,63171832;3,047832723;238542;0;43,29250994;5510;0;15;71;overcast clouds;17;4;302176;1;15000000
